epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9711,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00015453,0.00015453,0.00015453
2,50.0239,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000286653,0.000286653,0.000286653
3,55.5353,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00038638,0.00038638,0.00038638
4,61.0154,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000453709,0.000453709,0.000453709
5,66.447,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000488642,0.000488642,0.000488642
6,71.9663,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000459045,0.000459045,0.000459045
7,77.5175,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000369054,0.000369054,0.000369054
8,82.9855,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000279063,0.000279063,0.000279063
9,88.467,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000189072,0.000189072,0.000189072
10,93.9657,nan,nan,nan,0,0,0,0,nan,nan,nan,9.9081e-05,9.9081e-05,9.9081e-05
